ReplicateName,FileName,SampleType,IsotopeLabelType,FragmentIonType,TransitionNote,AnalyteConcentration,MoleculeListName,MoleculeName,PrecursorMz,ProductMz,PointsAcrossPeak,Background,Area,Fwhm
CMP_022323_Lumos_BC_MQblank_01,CMP_022323_Lumos_BC_MQblank_01.raw,Double Blank,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_022323_Lumos_BC_MQblank_02,CMP_022323_Lumos_BC_MQblank_02.raw,Double Blank,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_022323_Lumos_BC_MQblank_03,CMP_022323_Lumos_BC_MQblank_03.raw,Double Blank,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_022323_Lumos_BC_MQblank_04,CMP_022323_Lumos_BC_MQblank_04.raw,Double Blank,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_01,CMP_exomtab_022323_Lumos_BC_pool_01.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_02,CMP_exomtab_022323_Lumos_BC_pool_02.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_03,CMP_exomtab_022323_Lumos_BC_pool_03.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_04,CMP_exomtab_022323_Lumos_BC_pool_04.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_05,CMP_exomtab_022323_Lumos_BC_pool_05.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_06,CMP_exomtab_022323_Lumos_BC_pool_06.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_07,CMP_exomtab_022323_Lumos_BC_pool_07.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_08,CMP_exomtab_022323_Lumos_BC_pool_08.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_09,CMP_exomtab_022323_Lumos_BC_pool_09.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_10,CMP_exomtab_022323_Lumos_BC_pool_10.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_11,CMP_exomtab_022323_Lumos_BC_pool_11.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_12,CMP_exomtab_022323_Lumos_BC_pool_12.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_13,CMP_exomtab_022323_Lumos_BC_pool_13.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_14,CMP_exomtab_022323_Lumos_BC_pool_14.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_15,CMP_exomtab_022323_Lumos_BC_pool_15.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_pool_16,CMP_exomtab_022323_Lumos_BC_pool_16.raw,Quality Control,light,precursor,light,NaN,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_SW_STD_0,CMP_exomtab_022323_Lumos_BC_SW_STD_0.raw,Blank,light,precursor,light,0,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_SW_STD_1,CMP_exomtab_022323_Lumos_BC_SW_STD_1.raw,Standard,light,precursor,light,0.001,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_SW_STD_2,CMP_exomtab_022323_Lumos_BC_SW_STD_2.raw,Standard,light,precursor,light,0.01,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
CMP_exomtab_022323_Lumos_BC_SW_STD_3,CMP_exomtab_022323_Lumos_BC_SW_STD_3.raw,Standard,light,precursor,light,0.05,"2′deoxycitidine","2′deoxycitidine_light",332.1241,332.1241,#N/A,#N/A,#N/A,#N/A
